Date,School,Name,Free,Reduced,Denied,Unapplied,Approved,Total
01-29-2010,301,Randolph  Learning  Center,63,5,1,4,93.15%,73
01-29-2010,302,Asheville  High School,312,50,9,583,37.95%,954
01-29-2010,304,Hall Fletcher  Elementary,223,24,9,59,78.41%,315
01-29-2010,306,Isaac Dickson  Elementary,137,17,13,264,35.73%,431
01-29-2010,312,Claxton  Elementary,162,11,4,257,39.86%,434
01-29-2010,332,Ira B. Jones Elementary,172,9,4,200,47.01%,385
01-29-2010,356,Asheville  Middle School,311,36,6,331,50.73%,684
01-29-2010,360,Vance Elementary,190,25,7,166,55.41%,388
01-29-2010,700,Sch of Inquiry and Life Scien,38,9,0,138,25.41%,185
01-30-2012,302,Asheville  High School,388,50,11,559,43.45%,1008
01-30-2012,304,Hall Fletcher  Elementary,237,17,8,54,80.38%,316
01-30-2012,306,Isaac Dickson  Elementary,166,11,21,260,38.65%,458
01-30-2012,312,Claxton  Elementary,183,21,8,242,44.93%,454
01-30-2012,332,Ira B. Jones Elementary,164,10,5,235,42.03%,414
01-30-2012,356,Asheville  Middle School,360,44,13,351,52.60%,768
01-30-2012,360,Vance Elementary,200,23,13,195,51.74%,431
01-30-2012,700,Sch of Inquiry and Life Scien,41,7,1,165,22.43%,214
01-31-2013,302,Asheville  High School,395,40,22,573,42.23%,1030
01-31-2013,304,Hall Fletcher  Elementary,224,16,3,54,80.81%,297
01-31-2013,306,Isaac Dickson  Elementary,166,17,8,283,38.61%,474
01-31-2013,312,Claxton  Elementary,170,16,3,235,43.87%,424
01-31-2013,332,Ira B. Jones Elementary,169,6,5,232,42.48%,412
01-31-2013,356,Asheville  Middle School,381,30,9,368,52.16%,788
01-31-2013,360,Vance Elementary,196,22,13,227,47.60%,458
01-31-2013,700,Sch of Inquiry and Life Scien,52,9,2,184,24.70%,247
10-29-2010,301,Randolph Learning Center,46,2,1,9,82.76%,58
10-29-2010,302,Asheville High School,331,53,15,564,39.88%,963
10-29-2010,304,Hall Fletcher Elementary,244,26,4,65,79.65%,339
10-29-2010,306,Isaac Dickson Elementary,153,18,21,252,38.51%,444
10-29-2010,312,Claxton Elementary,178,15,6,252,42.79%,451
10-29-2010,332,Ira B. Jones Elementary,179,15,8,224,45.54%,426
10-29-2010,356,Asheville Middle School,359,41,12,351,52.42%,763
10-29-2010,360,Vance Elementary,202,25,7,178,55.10%,412
10-29-2010,700,Sch of Inquiry and Life Scien,35,11,0,159,22.44%,205
10-31-2011,302,Asheville  High School,395,48,10,583,42.76%,1036
10-31-2011,304,Hall Fletcher  Elementary,229,18,8,60,78.41%,315
10-31-2011,306,Isaac Dickson  Elementary,165,10,23,261,38.13%,459
10-31-2011,312,Claxton  Elementary,178,20,8,257,42.76%,463
10-31-2011,332,Ira B. Jones Elementary,160,11,5,232,41.91%,408
10-31-2011,356,Asheville  Middle School,376,42,16,355,52.98%,789
10-31-2011,360,Vance Elementary,198,21,16,201,50.23%,436
10-31-2011,700,Sch of Inquiry and Life Scien,39,8,1,169,21.66%,217
10-31-2012,302,Asheville  High School,388,42,19,582,41.71%,1031
10-31-2012,304,Hall Fletcher  Elementary,226,18,2,55,81.06%,301
10-31-2012,306,Isaac Dickson  Elementary,164,16,8,287,37.89%,475
10-31-2012,312,Claxton  Elementary,180,17,2,241,44.77%,440
10-31-2012,332,Ira B. Jones Elementary,163,6,4,239,41.02%,412
10-31-2012,356,Asheville  Middle School,367,35,7,381,50.89%,790
10-31-2012,360,Vance Elementary,185,22,14,238,45.10%,459
10-31-2012,700,Sch of Inquiry and Life Scien,55,11,0,179,26.94%,245
11-29-2012,302,Asheville  High School,394,41,21,574,42.23%,1030
11-29-2012,304,Hall Fletcher  Elementary,226,16,3,56,80.40%,301
11-29-2012,306,Isaac Dickson  Elementary,162,17,8,285,37.92%,472
11-29-2012,312,Claxton  Elementary,179,17,3,240,44.65%,439
11-29-2012,332,Ira B. Jones Elementary,166,6,4,235,41.85%,411
11-29-2012,356,Asheville  Middle School,376,31,8,377,51.39%,792
